original_index,text_length,word_count,sentence_count,avg_word_length,lexical_diversity,semantic_similarity,keyword_overlap,grammar_error_count,grammar_error_ratio,has_punctuation,has_greeting,has_questions,has_description,dialog_initiation,question_type,response_adequacy,information_seeking,descriptive_detail,real_score
0,535,87,14,6.149425287356322,0.7931034482758621,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
1,511,85,16,6.011764705882353,0.788235294117647,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,2.0,1.0,,,2
2,972,127,24,7.653543307086614,0.7559055118110236,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
3,5006,816,116,6.134803921568627,0.6237745098039216,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
4,555,80,13,6.9375,0.825,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
5,2273,370,12,6.143243243243243,0.7027027027027027,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,2.0,1.0,,,2
6,1084,172,1,6.3023255813953485,0.6686046511627907,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,0.0,,1
7,2835,467,1,6.070663811563169,0.5867237687366167,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,4.0,,,1.0,2
8,1254,190,35,6.6,0.7315789473684211,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
9,1037,161,1,6.440993788819876,0.6770186335403726,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
10,1063,167,13,6.365269461077844,0.7365269461077845,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
11,2592,413,78,6.276029055690072,0.6779661016949152,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,4.0,,,1.0,1
12,555,77,14,7.207792207792208,0.8051948051948052,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
13,2234,358,80,6.240223463687151,0.7094972067039106,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
14,920,139,21,6.618705035971223,0.8129496402877698,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
15,3342,548,114,6.098540145985401,0.6624087591240876,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,4.0,,,1.0,2
16,1243,208,6,5.975961538461538,0.7451923076923077,0.0,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1
17,1800,266,38,6.7669172932330826,0.7593984962406015,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
18,789,121,25,6.520661157024794,0.8181818181818182,0.0,0.0,0,0,0.0,1.0,0.0,0.0,,3.0,,1.0,,1
19,2880,436,93,6.605504587155964,0.7064220183486238,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
20,1005,167,24,6.017964071856287,0.7544910179640718,0.0,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1
21,1086,164,27,6.621951219512195,0.8353658536585366,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
22,1065,155,25,6.870967741935484,0.7870967741935484,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,3.0,,1.0,,1
23,4088,644,93,6.3478260869565215,0.6770186335403726,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
24,477,68,13,7.014705882352941,0.75,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
25,2183,353,79,6.18413597733711,0.7082152974504249,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,2.0,1.0,,,2
26,1104,177,35,6.237288135593221,0.655367231638418,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
27,3264,552,97,5.913043478260869,0.592391304347826,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
28,738,115,27,6.417391304347826,0.7652173913043478,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
29,918,138,25,6.6521739130434785,0.8188405797101449,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
30,768,115,28,6.678260869565217,0.8173913043478261,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,3.0,,1.0,,1
31,4796,759,104,6.318840579710145,0.6429512516469038,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,4.0,,,1.0,1
32,591,84,20,7.035714285714286,0.7857142857142857,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
33,1630,249,45,6.546184738955823,0.7028112449799196,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
34,1426,217,40,6.571428571428571,0.6866359447004609,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
35,2399,388,59,6.18298969072165,0.7061855670103093,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
36,771,111,31,6.945945945945946,0.7207207207207207,0.0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,,,,1
37,1162,178,29,6.52808988764045,0.797752808988764,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
38,1252,192,36,6.520833333333333,0.7552083333333334,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
39,3786,605,114,6.257851239669422,0.6132231404958678,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
40,600,102,16,5.882352941176471,0.49019607843137253,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
41,1578,233,53,6.772532188841201,0.6266094420600858,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,1
42,864,124,27,6.967741935483871,0.7903225806451613,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
43,2128,343,72,6.204081632653061,0.673469387755102,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
44,328,46,12,7.130434782608695,0.782608695652174,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
45,2451,370,53,6.624324324324324,0.6594594594594595,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
46,827,127,18,6.511811023622047,0.7244094488188977,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,3.0,,1.0,,1
47,3823,604,98,6.329470198675497,0.6357615894039735,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
48,641,99,18,6.474747474747475,0.8585858585858586,0.0,0.0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,,,,1
49,2607,421,102,6.192399049881235,0.6745843230403801,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,1
50,1513,227,52,6.665198237885463,0.762114537444934,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,3.0,,1.0,,1
51,2250,386,96,5.829015544041451,0.6243523316062176,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,1
52,219,33,6,6.636363636363637,0.9696969696969697,0.0,0.0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,,,,0
53,658,101,21,6.514851485148514,0.8316831683168316,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
54,632,92,12,6.869565217391305,0.8478260869565217,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,3.0,,1.0,,0
55,684,120,1,5.7,0.8083333333333333,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,0
56,311,49,1,6.346938775510204,0.8571428571428571,0.0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,,,,1
57,857,141,4,6.078014184397163,0.7943262411347518,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,2.0,1.0,,,2
58,893,135,16,6.614814814814815,0.8148148148148148,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
59,940,142,24,6.619718309859155,0.8028169014084507,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,1
60,470,71,17,6.619718309859155,0.8873239436619719,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
61,936,150,30,6.24,0.7533333333333333,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,2.0,1.0,,,1
62,745,109,26,6.834862385321101,0.8256880733944955,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
63,1757,262,51,6.706106870229007,0.7251908396946565,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,4.0,,,1.0,0
64,334,54,14,6.185185185185185,0.9259259259259259,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0
65,609,98,21,6.214285714285714,0.8775510204081632,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,1
66,723,97,23,7.453608247422681,0.9072164948453608,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,0
67,2298,349,77,6.584527220630372,0.6217765042979942,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,0
68,604,90,14,6.711111111111111,0.8888888888888888,0.0,0.0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,,,,0
69,876,130,30,6.7384615384615385,0.823076923076923,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,1
70,665,87,17,7.64367816091954,0.7241379310344828,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,0
71,493,76,17,6.4868421052631575,0.75,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,0
72,656,87,23,7.540229885057471,0.8735632183908046,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
73,629,104,20,6.048076923076923,0.8269230769230769,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,2.0,1.0,,,2
74,695,99,18,7.02020202020202,0.8080808080808081,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
75,935,143,27,6.538461538461538,0.8321678321678322,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,4.0,,,1.0,2
76,252,35,8,7.2,0.9714285714285714,0.0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,,,,1
77,767,108,25,7.101851851851852,0.8425925925925926,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,1
78,563,81,21,6.950617283950617,0.8765432098765432,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,0
79,714,107,27,6.672897196261682,0.8598130841121495,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,1
80,421,73,14,5.767123287671233,0.8904109589041096,0.0,0.0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,,,,1
81,561,98,18,5.724489795918367,0.7653061224489796,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
82,1151,171,36,6.730994152046784,0.5263157894736842,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,3.0,,1.0,,1
83,1491,242,45,6.161157024793388,0.6611570247933884,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
84,249,33,10,7.545454545454546,0.9090909090909091,0.0,0.0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,,,,0
85,742,113,25,6.566371681415929,0.7964601769911505,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
86,582,91,21,6.395604395604396,0.8241758241758241,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,0
87,1117,187,21,5.973262032085562,0.7005347593582888,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,0
88,536,77,17,6.961038961038961,0.8181818181818182,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,1
89,803,116,31,6.922413793103448,0.8275862068965517,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,2.0,1.0,,,2
90,862,132,24,6.53030303030303,0.7878787878787878,0.0,0.0,0,0,0.0,1.0,1.0,1.0,,3.0,,1.0,,1
91,698,115,21,6.069565217391304,0.7478260869565218,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
92,17,3,1,5.666666666666667,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.2,1.0,,,,0
93,35,6,2,5.833333333333333,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,2.0,0.24,,,1
94,17,3,1,5.666666666666667,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,3.0,,0.0,,1
95,1089,172,46,6.3313953488372094,0.7093023255813954,0.0,0.0,0,0,0.0,0.0,1.0,0.0,,4.0,,,1.0,1
96,641,99,20,6.474747474747475,0.8484848484848485,0.0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,,,,0
97,1128,173,39,6.520231213872832,0.8092485549132948,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,2.0,1.0,,,2
98,1800,294,46,6.122448979591836,0.6496598639455783,0.0,0.0,0,0,0.0,1.0,1.0,0.0,,3.0,,1.0,,1
99,2236,357,71,6.2633053221288515,0.7310924369747899,0.0,0.0,0,0,0.0,0.0,1.0,1.0,,4.0,,,1.0,2
